iter	Passed	Remaining
0	0	778
1	1	667
2	1	641
3	2	623
4	3	604
5	3	603
6	4	598
7	4	585
8	5	582
9	5	576
10	6	573
11	6	569
12	7	562
13	7	557
14	8	552
15	8	546
16	9	544
17	10	549
18	10	551
19	11	549
20	11	546
21	12	543
22	12	544
23	13	544
24	13	543
25	14	544
26	15	563
27	16	563
28	16	565
29	17	562
30	17	558
31	18	556
32	19	557
33	19	557
34	20	558
35	20	560
36	21	559
37	22	559
38	22	561
39	23	561
40	23	559
41	24	558
42	25	556
43	25	555
44	26	553
45	26	551
46	27	550
47	27	549
48	28	548
49	28	548
50	29	546
51	29	545
52	30	544
53	31	544
54	31	543
55	32	542
56	32	541
57	33	538
58	33	538
59	34	536
60	34	535
61	35	534
62	35	534
63	36	534
64	36	532
65	37	531
66	38	530
67	38	529
68	39	528
69	39	526
70	40	525
71	40	524
72	41	523
73	41	523
74	42	523
75	42	522
76	43	521
77	44	522
78	44	520
79	45	520
80	45	519
81	46	518
82	46	514
83	47	514
84	47	516
85	48	516
86	49	516
87	49	515
88	50	515
89	50	515
90	51	514
91	52	513
92	52	512
93	53	512
94	53	511
95	54	512
96	54	511
97	55	510
98	56	509
99	56	510
100	57	509
101	57	508
102	58	507
103	58	506
104	59	506
105	60	506
106	60	507
107	61	506
108	61	506
109	62	506
110	63	506
111	63	505
112	64	505
113	65	505
114	65	505
115	66	505
116	66	504
117	67	505
118	68	506
119	69	507
120	69	507
121	70	506
122	71	506
123	71	505
124	72	505
125	72	505
126	73	503
127	73	502
128	74	501
129	74	500
130	75	500
131	76	499
132	76	499
133	77	498
134	77	498
135	78	497
136	79	498
137	79	498
138	80	497
139	80	497
140	81	496
141	81	495
142	82	494
143	83	494
144	83	493
145	84	493
146	84	492
147	85	492
148	86	491
149	86	491
150	87	490
151	87	490
152	88	490
153	89	489
154	89	488
155	90	487
156	90	487
157	91	486
158	91	485
159	92	485
160	92	483
161	93	482
162	93	481
163	94	481
164	94	480
165	95	479
166	95	478
167	96	477
168	97	477
169	97	477
170	98	476
171	98	475
172	99	474
173	99	474
174	100	473
175	100	472
176	101	471
177	101	470
178	102	469
179	103	469
180	103	468
181	103	467
182	104	466
183	105	465
184	105	464
185	105	463
186	106	462
187	106	461
188	107	461
189	107	460
190	108	459
191	108	458
192	109	457
193	110	457
194	110	457
195	111	456
196	111	455
197	112	455
198	112	454
199	113	454
200	114	453
201	114	453
202	115	452
203	115	451
204	116	451
205	117	451
206	117	450
207	118	450
208	118	449
209	119	449
210	120	448
211	120	448
212	121	447
213	121	446
214	122	445
215	122	445
216	123	445
217	123	444
218	124	443
219	124	442
220	125	442
221	126	442
222	126	441
223	127	441
224	128	441
225	128	440
226	129	440
227	129	439
228	130	439
229	131	438
230	131	437
231	132	437
232	132	437
233	133	436
234	133	436
235	134	435
236	135	434
237	135	434
238	136	434
239	136	433
240	137	432
241	137	431
242	138	431
243	139	430
244	139	430
245	140	429
246	140	428
247	141	428
248	141	427
249	142	427
250	142	426
251	143	425
252	144	425
253	144	425
254	145	424
255	145	424
256	146	423
257	147	423
258	147	422
259	148	422
260	148	421
261	149	420
262	150	420
263	150	419
264	151	419
265	152	419
266	152	418
267	153	418
268	153	417
269	154	417
270	155	417
271	155	416
272	156	415
273	156	414
274	157	414
275	157	413
276	158	413
277	159	412
278	159	412
279	160	411
280	160	411
281	161	411
282	162	410
283	162	409
284	162	408
285	163	408
286	164	407
287	164	407
288	165	406
289	165	406
290	166	405
291	167	406
292	168	405
293	168	405
294	169	404
295	169	404
296	170	403
297	171	403
298	171	402
299	172	402
300	172	401
301	173	401
302	174	400
303	174	399
304	175	399
305	175	398
306	176	397
307	176	397
308	177	396
309	177	395
310	178	395
311	178	394
312	179	393
313	180	395
314	181	394
315	181	393
316	182	393
317	183	392
318	183	392
319	184	391
320	184	390
321	185	390
322	185	389
323	186	388
324	187	388
325	187	387
326	188	387
327	188	386
328	189	386
329	189	385
330	190	384
331	190	384
332	191	383
333	192	383
334	192	382
335	193	382
336	193	381
337	194	380
338	194	380
339	195	379
340	196	378
341	196	378
342	197	377
343	197	377
344	198	376
345	199	376
346	199	375
347	200	375
348	201	374
349	201	374
350	202	373
351	202	373
352	203	372
353	203	372
354	204	371
355	205	371
356	205	370
357	206	369
358	206	369
359	207	369
360	208	368
361	208	368
362	209	367
363	210	367
364	210	366
365	211	366
366	211	365
367	212	364
368	213	364
369	213	363
370	214	363
371	214	362
372	215	362
373	215	361
374	216	361
375	217	360
376	217	360
377	218	359
378	219	358
379	219	358
380	220	357
381	220	357
382	221	356
383	222	356
384	222	355
385	223	355
386	223	354
387	224	353
388	224	353
389	225	352
390	226	352
391	226	351
392	227	351
393	227	350
394	228	349
395	228	349
396	229	348
397	230	348
398	230	347
399	231	346
400	231	346
401	232	345
402	233	345
403	233	344
404	234	344
405	234	343
406	235	342
407	235	342
408	236	341
409	237	341
410	237	341
411	238	340
412	239	340
413	239	339
414	240	338
415	240	338
416	241	337
417	242	337
418	242	336
419	243	336
420	243	335
421	244	335
422	245	334
423	245	333
424	246	333
425	246	332
426	247	332
427	247	331
428	248	330
429	249	330
430	249	329
431	250	329
432	251	328
433	251	328
434	252	327
435	252	327
436	253	326
437	254	326
438	254	325
439	255	325
440	256	324
441	256	324
442	257	323
443	257	322
444	258	322
445	258	321
446	259	320
447	259	320
448	260	319
449	261	319
450	261	318
451	262	318
452	262	317
453	263	317
454	264	316
455	264	316
456	265	315
457	266	314
458	266	314
459	267	313
460	267	313
461	268	312
462	268	311
463	269	311
464	270	310
465	270	310
466	271	309
467	271	309
468	272	308
469	272	307
470	273	307
471	273	306
472	274	305
473	274	305
474	275	304
475	275	303
476	276	303
477	276	302
478	277	301
479	277	300
480	278	300
481	278	299
482	279	298
483	279	298
484	280	297
485	280	296
486	281	296
487	281	295
488	282	294
489	282	294
490	283	293
491	283	292
492	284	292
493	284	291
494	285	290
495	285	290
496	286	289
497	286	288
498	287	288
499	287	287
500	288	287
501	288	286
502	289	285
503	289	285
504	290	284
505	290	283
506	291	283
507	291	282
508	292	282
509	293	281
510	293	280
511	294	280
512	294	279
513	295	279
514	295	278
515	296	277
516	296	277
517	297	276
518	297	276
519	298	275
520	298	274
521	299	274
522	299	273
523	300	272
524	301	272
525	301	271
526	302	271
527	302	270
528	303	269
529	303	269
530	304	268
531	304	268
532	305	267
533	306	267
534	306	266
535	307	266
536	307	265
537	308	264
538	308	264
539	309	263
540	309	262
541	310	262
542	311	261
543	311	261
544	312	260
545	312	260
546	313	259
547	313	258
548	314	258
549	314	257
550	315	256
551	315	256
552	316	255
553	316	255
554	317	254
555	317	253
556	318	253
557	319	252
558	319	252
559	319	251
560	320	250
561	321	250
562	321	249
563	322	249
564	322	248
565	323	247
566	323	247
567	324	246
568	325	246
569	325	245
570	326	245
571	326	244
572	327	243
573	327	243
574	328	242
575	328	242
576	329	241
577	329	240
578	330	240
579	330	239
580	331	239
581	332	238
582	332	237
583	333	237
584	333	236
585	334	236
586	334	235
587	335	234
588	335	234
589	336	233
590	336	232
591	337	232
592	337	231
593	338	231
594	338	230
595	339	229
596	339	229
597	340	228
598	340	227
599	341	227
600	341	226
601	342	226
602	342	225
603	343	224
604	343	224
605	344	223
606	344	223
607	345	222
608	345	222
609	346	221
610	346	220
611	347	220
612	347	219
613	348	219
614	348	218
615	349	217
616	349	217
617	350	216
618	351	216
619	351	215
620	352	214
621	352	214
622	353	213
623	353	213
624	354	212
625	354	211
626	355	211
627	355	210
628	356	210
629	356	209
630	357	209
631	358	208
632	358	207
